date,Team_1,Team_2,Winner,Margin,Ground
24-Feb-13,West Indies,Zimbabwe,West Indies,7 wickets,St George's
26-Feb-13,West Indies,Zimbabwe,West Indies,5 wickets,St George's
6-Mar-13,Afghanistan,Scotland,Afghanistan,7 wickets,Sharjah
8-Mar-13,Afghanistan,Scotland,Afghanistan,5 wickets,Sharjah
10-Mar-13,South Africa,Pakistan,South Africa,125 runs,Bloemfontein
11-Mar-13,Canada,Kenya,Kenya,6 wickets,ICCA Dubai
13-Mar-13,Canada,Kenya,Kenya,6 wickets,ICCA Dubai
15-Mar-13,South Africa,Pakistan,Pakistan,6 wickets,Centurion
17-Mar-13,South Africa,Pakistan,South Africa,34 runs,Johannesburg
21-Mar-13,South Africa,Pakistan,Pakistan,3 wickets,Durban
23-Mar-13,Sri Lanka,Bangladesh,Sri Lanka,8 wickets,Hambantota
24-Mar-13,South Africa,Pakistan,South Africa,6 wickets,Benoni
25-Mar-13,Sri Lanka,Bangladesh,no result,,Hambantota
28-Mar-13,Sri Lanka,Bangladesh,Bangladesh,3 wickets,Pallekele
3-May-13,Zimbabwe,Bangladesh,Bangladesh,121 runs,Bulawayo
5-May-13,Zimbabwe,Bangladesh,Zimbabwe,6 wickets,Bulawayo
8-May-13,Zimbabwe,Bangladesh,Zimbabwe,7 wickets,Bulawayo
17-May-13,Scotland,Pakistan,Pakistan,96 runs,Edinburgh
23-May-13,Ireland,Pakistan,tied,,Dublin
26-May-13,Ireland,Pakistan,Pakistan,2 wickets,Dublin
31-May-13,Netherlands,South Africa,South Africa,83 runs,Amstelveen
31-May-13,England,New Zealand,New Zealand,5 wickets,Lord's
2-Jun-13,England,New Zealand,New Zealand,86 runs,Southampton
5-Jun-13,England,New Zealand,England,34 runs,Nottingham
6-Jun-13,India,South Africa,India,26 runs,Cardiff
7-Jun-13,Pakistan,West Indies,West Indies,2 wickets,The Oval
8-Jun-13,England,Australia,England,48 runs,Birmingham
9-Jun-13,New Zealand,Sri Lanka,New Zealand,1 wicket,Cardiff
10-Jun-13,Pakistan,South Africa,South Africa,67 runs,Birmingham
11-Jun-13,India,West Indies,India,8 wickets,The Oval
12-Jun-13,Australia,New Zealand,no result,,Birmingham
13-Jun-13,England,Sri Lanka,Sri Lanka,7 wickets,The Oval
14-Jun-13,South Africa,West Indies,tied,,Cardiff
15-Jun-13,India,Pakistan,India,8 wickets,Birmingham
16-Jun-13,England,New Zealand,England,10 runs,Cardiff
17-Jun-13,Australia,Sri Lanka,Sri Lanka,20 runs,The Oval
19-Jun-13,England,South Africa,England,7 wickets,The Oval
20-Jun-13,India,Sri Lanka,India,8 wickets,Cardiff
23-Jun-13,England,India,India,5 runs,Birmingham
28-Jun-13,West Indies,Sri Lanka,West Indies,6 wickets,Kingston
30-Jun-13,Scotland,Kenya,Scotland,12 runs,Aberdeen
30-Jun-13,West Indies,India,West Indies,1 wicket,Kingston
"Jul 2-3, 2013",Scotland,Kenya,Scotland,4 wickets,Aberdeen
2-Jul-13,India,Sri Lanka,Sri Lanka,161 runs,Kingston
5-Jul-13,West Indies,India,India,102 runs,Port of Spain
7-Jul-13,Netherlands,Ireland,Ireland,88 runs,Amstelveen
"Jul 7-8, 2013",West Indies,Sri Lanka,Sri Lanka,39 runs,Port of Spain
9-Jul-13,Netherlands,Ireland,tied,,Amstelveen
9-Jul-13,India,Sri Lanka,India,81 runs,Port of Spain
11-Jul-13,India,Sri Lanka,India,1 wicket,Port of Spain
14-Jul-13,West Indies,Pakistan,Pakistan,126 runs,Providence
16-Jul-13,West Indies,Pakistan,West Indies,37 runs,Providence
19-Jul-13,West Indies,Pakistan,tied,,Gros Islet
20-Jul-13,Sri Lanka,South Africa,Sri Lanka,180 runs,Colombo (RPS)
21-Jul-13,West Indies,Pakistan,Pakistan,6 wickets,Gros Islet
23-Jul-13,Sri Lanka,South Africa,Sri Lanka,17 runs,Colombo (RPS)
24-Jul-13,Zimbabwe,India,India,6 wickets,Harare
24-Jul-13,West Indies,Pakistan,Pakistan,4 wickets,Gros Islet
26-Jul-13,Zimbabwe,India,India,58 runs,Harare
26-Jul-13,Sri Lanka,South Africa,South Africa,56 runs,Pallekele
28-Jul-13,Zimbabwe,India,India,7 wickets,Harare
28-Jul-13,Sri Lanka,South Africa,Sri Lanka,8 wickets,Pallekele
31-Jul-13,Sri Lanka,South Africa,Sri Lanka,128 runs,Colombo (RPS)
1-Aug-13,Zimbabwe,India,India,9 wickets,Bulawayo
3-Aug-13,Zimbabwe,India,India,7 wickets,Bulawayo
27-Aug-13,Zimbabwe,Pakistan,Zimbabwe,7 wickets,Harare
"Aug 27-28, 2013",Canada,Netherlands,no result,,King City (NW)
29-Aug-13,Zimbabwe,Pakistan,Pakistan,90 runs,Harare
29-Aug-13,Canada,Netherlands,Netherlands,9 wickets,King City (NW)
31-Aug-13,Zimbabwe,Pakistan,Pakistan,108 runs,Harare
3-Sep-13,Ireland,England,England,6 wickets,Dublin (Malahide)
3-Sep-13,Scotland,Australia,Australia,200 runs,Edinburgh
6-Sep-13,Ireland,Scotland,Ireland,1 wicket,Belfast
8-Sep-13,England,Australia,Australia,88 runs,Manchester
8-Sep-13,Ireland,Scotland,Ireland,7 wickets,Belfast
11-Sep-13,England,Australia,no result,,Birmingham
14-Sep-13,England,Australia,England,3 wickets,Cardiff
16-Sep-13,England,Australia,Australia,49 runs,Southampton
2-Oct-13,Afghanistan,Kenya,Afghanistan,8 wickets,Sharjah
4-Oct-13,Afghanistan,Kenya,Afghanistan,7 wickets,Sharjah
13-Oct-13,India,Australia,Australia,72 runs,Pune
16-Oct-13,India,Australia,India,9 wickets,Jaipur
19-Oct-13,India,Australia,Australia,4 wickets,Mohali
23-Oct-13,India,Australia,no result,,Ranchi
29-Oct-13,Bangladesh,New Zealand,Bangladesh,43 runs,Dhaka
30-Oct-13,India,Australia,India,6 wickets,Nagpur
30-Oct-13,Pakistan,South Africa,South Africa,1 run,Sharjah
31-Oct-13,Bangladesh,New Zealand,Bangladesh,40 runs,Dhaka
1-Nov-13,Pakistan,South Africa,Pakistan,66 runs,Dubai (DSC)
2-Nov-13,India,Australia,India,57 runs,Bengaluru
3-Nov-13,Bangladesh,New Zealand,Bangladesh,4 wickets,Fatullah
6-Nov-13,Pakistan,South Africa,South Africa,68 runs,Abu Dhabi
8-Nov-13,Pakistan,South Africa,South Africa,28 runs,Abu Dhabi
10-Nov-13,Sri Lanka,New Zealand,no result,,Hambantota
11-Nov-13,Pakistan,South Africa,South Africa,117 runs,Sharjah
12-Nov-13,Sri Lanka,New Zealand,New Zealand,4 wickets,Hambantota
16-Nov-13,Sri Lanka,New Zealand,Sri Lanka,36 runs,Dambulla
21-Nov-13,India,West Indies,India,6 wickets,Kochi
24-Nov-13,India,West Indies,West Indies,2 wickets,Visakhapatnam
24-Nov-13,South Africa,Pakistan,Pakistan,23 runs,Cape Town
27-Nov-13,India,West Indies,India,5 wickets,Kanpur
27-Nov-13,South Africa,Pakistan,Pakistan,1 run,Port Elizabeth
30-Nov-13,South Africa,Pakistan,South Africa,4 wickets,Centurion
5-Dec-13,South Africa,India,South Africa,141 runs,Johannesburg
8-Dec-13,South Africa,India,South Africa,134 runs,Durban
11-Dec-13,South Africa,India,no result,,Centurion
18-Dec-13,Pakistan,Sri Lanka,Pakistan,11 runs,Sharjah
20-Dec-13,Pakistan,Sri Lanka,Sri Lanka,2 wickets,Dubai (DSC)
22-Dec-13,Pakistan,Sri Lanka,Pakistan,113 runs,Sharjah
25-Dec-13,Pakistan,Sri Lanka,Pakistan,8 wickets,Abu Dhabi
26-Dec-13,New Zealand,West Indies,West Indies,2 wickets,Auckland
27-Dec-13,Pakistan,Sri Lanka,Sri Lanka,2 wickets,Abu Dhabi
1-Jan-14,New Zealand,West Indies,New Zealand,159 runs,Queenstown
4-Jan-14,New Zealand,West Indies,New Zealand,58 runs,Nelson
8-Jan-14,New Zealand,West Indies,West Indies,203 runs,Hamilton
12-Jan-14,Australia,England,Australia,6 wickets,Melbourne
17-Jan-14,Australia,England,Australia,1 wicket,Brisbane
19-Jan-14,New Zealand,India,New Zealand,24 runs,Napier
19-Jan-14,Australia,England,Australia,7 wickets,Sydney
22-Jan-14,New Zealand,India,New Zealand,15 runs,Hamilton
23-Jan-14,Canada,Scotland,Scotland,170 runs,Christchurch
23-Jan-14,Kenya,Netherlands,Kenya,4 wickets,Lincoln
24-Jan-14,Australia,England,England,57 runs,Perth
25-Jan-14,New Zealand,India,tied,,Auckland
26-Jan-14,Australia,England,Australia,5 runs,Adelaide
28-Jan-14,Canada,Netherlands,Netherlands,8 wickets,Mount Maunganui
28-Jan-14,New Zealand,India,New Zealand,7 wickets,Hamilton
30-Jan-14,Kenya,Scotland,Scotland,3 wickets,Christchurch
31-Jan-14,New Zealand,India,New Zealand,87 runs,Wellington
1-Feb-14,Scotland,U.A.E.,Scotland,41 runs,Lincoln
17-Feb-14,Bangladesh,Sri Lanka,Sri Lanka,13 runs,Dhaka
20-Feb-14,Bangladesh,Sri Lanka,Sri Lanka,61 runs,Dhaka
22-Feb-14,Bangladesh,Sri Lanka,Sri Lanka,6 wickets,Dhaka
23-Feb-14,West Indies,Ireland,West Indies,4 wickets,Kingston
25-Feb-14,Pakistan,Sri Lanka,Sri Lanka,12 runs,Fatullah
26-Feb-14,Bangladesh,India,India,6 wickets,Fatullah
27-Feb-14,Afghanistan,Pakistan,Pakistan,72 runs,Fatullah
28-Feb-14,India,Sri Lanka,Sri Lanka,2 wickets,Fatullah
28-Feb-14,West Indies,England,West Indies,15 runs,North Sound
1-Mar-14,Bangladesh,Afghanistan,Afghanistan,32 runs,Fatullah
2-Mar-14,India,Pakistan,Pakistan,1 wicket,Dhaka
2-Mar-14,West Indies,England,England,3 wickets,North Sound
3-Mar-14,Afghanistan,Sri Lanka,Sri Lanka,129 runs,Dhaka
4-Mar-14,Bangladesh,Pakistan,Pakistan,3 wickets,Dhaka
5-Mar-14,Afghanistan,India,India,8 wickets,Dhaka
5-Mar-14,West Indies,England,England,25 runs,North Sound
6-Mar-14,Bangladesh,Sri Lanka,Sri Lanka,3 wickets,Dhaka
8-Mar-14,Pakistan,Sri Lanka,Sri Lanka,5 wickets,Dhaka
1-May-14,Afghanistan,Hong Kong,Afghanistan,6 wickets,Kuala Lumpur
2-May-14,Afghanistan,U.A.E.,Afghanistan,70 runs,Kuala Lumpur
4-May-14,Hong Kong,U.A.E.,U.A.E.,2 wickets,Kuala Lumpur
6-May-14,Ireland,Sri Lanka,Sri Lanka,79 runs,Dublin
9-May-14,Scotland,England,England,39 runs,Aberdeen
22-May-14,England,Sri Lanka,England,81 runs,The Oval
25-May-14,England,Sri Lanka,Sri Lanka,157 runs,Chester-le-Street
28-May-14,England,Sri Lanka,England,10 wickets,Manchester
31-May-14,England,Sri Lanka,Sri Lanka,7 runs,Lord's
3-Jun-14,England,Sri Lanka,Sri Lanka,6 wickets,Birmingham
15-Jun-14,Bangladesh,India,India,7 wickets,Dhaka
17-Jun-14,Bangladesh,India,India,47 runs,Dhaka
19-Jun-14,Bangladesh,India,no result,,Dhaka
6-Jul-14,Sri Lanka,South Africa,South Africa,75 runs,Colombo (RPS)
9-Jul-14,Sri Lanka,South Africa,Sri Lanka,87 runs,Pallekele
12-Jul-14,Sri Lanka,South Africa,South Africa,82 runs,Hambantota
18-Jul-14,Zimbabwe,Afghanistan,Zimbabwe,6 wickets,Bulawayo
20-Jul-14,Zimbabwe,Afghanistan,Zimbabwe,8 wickets,Bulawayo
22-Jul-14,Zimbabwe,Afghanistan,Afghanistan,2 wickets,Bulawayo
24-Jul-14,Zimbabwe,Afghanistan,Afghanistan,100 runs,Bulawayo
17-Aug-14,Zimbabwe,South Africa,South Africa,93 runs,Bulawayo
19-Aug-14,Zimbabwe,South Africa,South Africa,61 runs,Bulawayo
20-Aug-14,West Indies,Bangladesh,West Indies,3 wickets,St George's
21-Aug-14,Zimbabwe,South Africa,South Africa,7 wickets,Bulawayo
22-Aug-14,West Indies,Bangladesh,West Indies,177 runs,St George's
23-Aug-14,Sri Lanka,Pakistan,Pakistan,4 wickets,Hambantota
25-Aug-14,Zimbabwe,Australia,Australia,198 runs,Harare
25-Aug-14,West Indies,Bangladesh,West Indies,91 runs,Basseterre
26-Aug-14,Sri Lanka,Pakistan,Sri Lanka,77 runs,Hambantota
27-Aug-14,Australia,South Africa,South Africa,7 wickets,Harare
27-Aug-14,England,India,India,133 runs,Cardiff
29-Aug-14,Zimbabwe,South Africa,South Africa,61 runs,Harare
30-Aug-14,Sri Lanka,Pakistan,Sri Lanka,7 wickets,Dambulla
30-Aug-14,England,India,India,6 wickets,Nottingham
31-Aug-14,Zimbabwe,Australia,Zimbabwe,3 wickets,Harare
2-Sep-14,Australia,South Africa,Australia,62 runs,Harare
2-Sep-14,England,India,India,9 wickets,Birmingham
4-Sep-14,Zimbabwe,South Africa,South Africa,63 runs,Harare
5-Sep-14,England,India,England,41 runs,Leeds
6-Sep-14,Australia,South Africa,South Africa,6 wickets,Harare
8-Sep-14,Ireland,Scotland,Ireland,7 wickets,Dublin (Malahide)
10-Sep-14,Ireland,Scotland,Ireland,3 wickets,Dublin (Malahide)
12-Sep-14,Ireland,Scotland,Scotland,8 wickets,Dublin (Malahide)
7-Oct-14,Australia,Pakistan,Australia,93 runs,Sharjah
8-Oct-14,India,West Indies,West Indies,124 runs,Kochi
10-Oct-14,Australia,Pakistan,Australia,5 wickets,Dubai (DSC)
11-Oct-14,India,West Indies,India,48 runs,Delhi
12-Oct-14,Australia,Pakistan,Australia,1 run,Abu Dhabi
17-Oct-14,India,West Indies,India,59 runs,Dharamsala
21-Oct-14,New Zealand,South Africa,South Africa,6 wickets,Mount Maunganui
24-Oct-14,New Zealand,South Africa,South Africa,72 runs,Mount Maunganui
27-Oct-14,New Zealand,South Africa,no result,,Hamilton
2-Nov-14,India,Sri Lanka,India,169 runs,Cuttack
6-Nov-14,India,Sri Lanka,India,6 wickets,Ahmedabad
8-Nov-14,Hong Kong,P.N.G.,P.N.G.,4 wickets,Townsville
9-Nov-14,Hong Kong,P.N.G.,P.N.G.,3 wickets,Townsville
9-Nov-14,India,Sri Lanka,India,6 wickets,Hyderabad (Deccan)
13-Nov-14,India,Sri Lanka,India,153 runs,Kolkata
14-Nov-14,Australia,South Africa,Australia,32 runs,Perth
16-Nov-14,Australia,South Africa,South Africa,3 wickets,Perth
16-Nov-14,India,Sri Lanka,India,3 wickets,Ranchi
19-Nov-14,Australia,South Africa,Australia,73 runs,Canberra
21-Nov-14,Australia,South Africa,Australia,3 wickets,Melbourne
21-Nov-14,Bangladesh,Zimbabwe,Bangladesh,87 runs,Chittagong
23-Nov-14,Australia,South Africa,Australia,2 wickets,Sydney
23-Nov-14,Bangladesh,Zimbabwe,Bangladesh,68 runs,Chittagong
26-Nov-14,Bangladesh,Zimbabwe,Bangladesh,124 runs,Dhaka
26-Nov-14,Sri Lanka,England,Sri Lanka,25 runs,Colombo (RPS)
28-Nov-14,Bangladesh,Zimbabwe,Bangladesh,21 runs,Dhaka
28-Nov-14,U.A.E.,Afghanistan,U.A.E.,5 wickets,ICCA Dubai
29-Nov-14,Sri Lanka,England,Sri Lanka,8 wickets,Colombo (RPS)
30-Nov-14,U.A.E.,Afghanistan,U.A.E.,6 wickets,ICCA Dubai
1-Dec-14,Bangladesh,Zimbabwe,Bangladesh,5 wickets,Dhaka
2-Dec-14,U.A.E.,Afghanistan,Afghanistan,2 wickets,ICCA Dubai
3-Dec-14,Sri Lanka,England,England,5 wickets,Hambantota
4-Dec-14,U.A.E.,Afghanistan,U.A.E.,30 runs,ICCA Dubai
7-Dec-14,Sri Lanka,England,Sri Lanka,6 wickets,Colombo (RPS)
8-Dec-14,New Zealand,Pakistan,Pakistan,3 wickets,Dubai (DSC)
"Dec 10-11, 2014",Sri Lanka,England,England,5 wickets,Pallekele
12-Dec-14,New Zealand,Pakistan,New Zealand,4 wickets,Sharjah
13-Dec-14,Sri Lanka,England,Sri Lanka,90 runs,Pallekele
14-Dec-14,New Zealand,Pakistan,Pakistan,147 runs,Sharjah
16-Dec-14,Sri Lanka,England,Sri Lanka,87 runs,Colombo (RPS)
17-Dec-14,New Zealand,Pakistan,New Zealand,7 runs,Abu Dhabi
19-Dec-14,New Zealand,Pakistan,New Zealand,68 runs,Abu Dhabi
8-Jan-15,Afghanistan,Scotland,Afghanistan,8 wickets,ICCA Dubai
10-Jan-15,Afghanistan,Ireland,Ireland,3 wickets,Dubai (DSC)
11-Jan-15,New Zealand,Sri Lanka,New Zealand,3 wickets,Christchurch
12-Jan-15,Ireland,Scotland,Ireland,3 wickets,Dubai (DSC)
14-Jan-15,Afghanistan,Scotland,Scotland,150 runs,Abu Dhabi
15-Jan-15,New Zealand,Sri Lanka,Sri Lanka,6 wickets,Hamilton
16-Jan-15,Australia,England,Australia,3 wickets,Sydney
16-Jan-15,South Africa,West Indies,South Africa,61 runs,Durban
17-Jan-15,New Zealand,Sri Lanka,no result,,Auckland
17-Jan-15,Afghanistan,Ireland,Afghanistan,71 runs,Dubai (DSC)
18-Jan-15,Australia,India,Australia,4 wickets,Melbourne
18-Jan-15,South Africa,West Indies,South Africa,148 runs,Johannesburg
19-Jan-15,Ireland,Scotland,no result,,ICCA Dubai
20-Jan-15,New Zealand,Sri Lanka,New Zealand,4 wickets,Nelson
20-Jan-15,England,India,England,9 wickets,Brisbane
21-Jan-15,South Africa,West Indies,South Africa,9 wickets,East London
23-Jan-15,New Zealand,Sri Lanka,New Zealand,108 runs,Dunedin
23-Jan-15,Australia,England,Australia,3 wickets,Hobart
25-Jan-15,New Zealand,Sri Lanka,New Zealand,120 runs,Dunedin
25-Jan-15,South Africa,West Indies,West Indies,1 wicket,Port Elizabeth
26-Jan-15,Australia,India,no result,,Sydney
28-Jan-15,South Africa,West Indies,South Africa,131 runs,Centurion
29-Jan-15,New Zealand,Sri Lanka,Sri Lanka,34 runs,Wellington
30-Jan-15,England,India,England,3 wickets,Perth
31-Jan-15,New Zealand,Pakistan,New Zealand,7 wickets,Wellington
1-Feb-15,Australia,England,Australia,112 runs,Perth
3-Feb-15,New Zealand,Pakistan,New Zealand,119 runs,Napier
14-Feb-15,New Zealand,Sri Lanka,New Zealand,98 runs,Christchurch
14-Feb-15,Australia,England,Australia,111 runs,Melbourne
15-Feb-15,South Africa,Zimbabwe,South Africa,62 runs,Hamilton
15-Feb-15,India,Pakistan,India,76 runs,Adelaide
16-Feb-15,Ireland,West Indies,Ireland,4 wickets,Nelson
17-Feb-15,New Zealand,Scotland,New Zealand,3 wickets,Dunedin
18-Feb-15,Afghanistan,Bangladesh,Bangladesh,105 runs,Canberra
19-Feb-15,U.A.E.,Zimbabwe,Zimbabwe,4 wickets,Nelson
20-Feb-15,New Zealand,England,New Zealand,8 wickets,Wellington
21-Feb-15,Pakistan,West Indies,West Indies,150 runs,Christchurch
22-Feb-15,Afghanistan,Sri Lanka,Sri Lanka,4 wickets,Dunedin
22-Feb-15,India,South Africa,India,130 runs,Melbourne
23-Feb-15,England,Scotland,England,119 runs,Christchurch
24-Feb-15,West Indies,Zimbabwe,West Indies,73 runs,Canberra
25-Feb-15,Ireland,U.A.E.,Ireland,2 wickets,Brisbane
26-Feb-15,Afghanistan,Scotland,Afghanistan,1 wicket,Dunedin
26-Feb-15,Bangladesh,Sri Lanka,Sri Lanka,92 runs,Melbourne
27-Feb-15,South Africa,West Indies,South Africa,257 runs,Sydney
28-Feb-15,New Zealand,Australia,New Zealand,1 wicket,Auckland
28-Feb-15,India,U.A.E.,India,9 wickets,Perth
1-Mar-15,England,Sri Lanka,Sri Lanka,9 wickets,Wellington
1-Mar-15,Pakistan,Zimbabwe,Pakistan,20 runs,Brisbane
3-Mar-15,Ireland,South Africa,South Africa,201 runs,Canberra
4-Mar-15,Pakistan,U.A.E.,Pakistan,129 runs,Napier
4-Mar-15,Australia,Afghanistan,Australia,275 runs,Perth
5-Mar-15,Bangladesh,Scotland,Bangladesh,6 wickets,Nelson
6-Mar-15,India,West Indies,India,4 wickets,Perth
7-Mar-15,Pakistan,South Africa,Pakistan,29 runs,Auckland
7-Mar-15,Ireland,Zimbabwe,Ireland,5 runs,Hobart
8-Mar-15,New Zealand,Afghanistan,New Zealand,6 wickets,Napier
8-Mar-15,Australia,Sri Lanka,Australia,64 runs,Sydney
9-Mar-15,Bangladesh,England,Bangladesh,15 runs,Adelaide
10-Mar-15,India,Ireland,India,8 wickets,Hamilton
11-Mar-15,Scotland,Sri Lanka,Sri Lanka,148 runs,Hobart
12-Mar-15,South Africa,U.A.E.,South Africa,146 runs,Wellington
13-Mar-15,New Zealand,Bangladesh,New Zealand,3 wickets,Hamilton
13-Mar-15,Afghanistan,England,England,9 wickets,Sydney
14-Mar-15,India,Zimbabwe,India,6 wickets,Auckland
14-Mar-15,Australia,Scotland,Australia,7 wickets,Hobart
15-Mar-15,U.A.E.,West Indies,West Indies,6 wickets,Napier
15-Mar-15,Ireland,Pakistan,Pakistan,7 wickets,Adelaide
18-Mar-15,South Africa,Sri Lanka,South Africa,9 wickets,Sydney
19-Mar-15,Bangladesh,India,India,109 runs,Melbourne
20-Mar-15,Australia,Pakistan,Australia,6 wickets,Adelaide
21-Mar-15,New Zealand,West Indies,New Zealand,143 runs,Wellington
24-Mar-15,New Zealand,South Africa,New Zealand,4 wickets,Auckland
26-Mar-15,Australia,India,Australia,95 runs,Sydney
29-Mar-15,Australia,New Zealand,Australia,7 wickets,Melbourne
17-Apr-15,Bangladesh,Pakistan,Bangladesh,79 runs,Dhaka
19-Apr-15,Bangladesh,Pakistan,Bangladesh,7 wickets,Dhaka
22-Apr-15,Bangladesh,Pakistan,Bangladesh,8 wickets,Dhaka
8-May-15,Ireland,England,no result,,Dublin (Malahide)
26-May-15,Pakistan,Zimbabwe,Pakistan,41 runs,Lahore
29-May-15,Pakistan,Zimbabwe,Pakistan,6 wickets,Lahore
31-May-15,Pakistan,Zimbabwe,no result,,Lahore
9-Jun-15,England,New Zealand,England,210 runs,Birmingham
12-Jun-15,England,New Zealand,New Zealand,13 runs,The Oval
14-Jun-15,England,New Zealand,New Zealand,3 wickets,Southampton
17-Jun-15,England,New Zealand,England,7 wickets,Nottingham
18-Jun-15,Bangladesh,India,Bangladesh,79 runs,Dhaka
20-Jun-15,England,New Zealand,England,3 wickets,Chester-le-Street
21-Jun-15,Bangladesh,India,Bangladesh,6 wickets,Dhaka
24-Jun-15,Bangladesh,India,India,77 runs,Dhaka
10-Jul-15,Zimbabwe,India,India,4 runs,Harare
10-Jul-15,Bangladesh,South Africa,South Africa,8 wickets,Dhaka
11-Jul-15,Sri Lanka,Pakistan,Pakistan,6 wickets,Dambulla
12-Jul-15,Zimbabwe,India,India,62 runs,Harare
12-Jul-15,Bangladesh,South Africa,Bangladesh,7 wickets,Dhaka
14-Jul-15,Zimbabwe,India,India,83 runs,Harare
15-Jul-15,Bangladesh,South Africa,Bangladesh,9 wickets,Chittagong
15-Jul-15,Sri Lanka,Pakistan,Sri Lanka,2 wickets,Pallekele
19-Jul-15,Sri Lanka,Pakistan,Pakistan,135 runs,Colombo (RPS)
22-Jul-15,Sri Lanka,Pakistan,Pakistan,7 wickets,Colombo (RPS)
26-Jul-15,Sri Lanka,Pakistan,Sri Lanka,165 runs,Hambantota
2-Aug-15,Zimbabwe,New Zealand,Zimbabwe,7 wickets,Harare
4-Aug-15,Zimbabwe,New Zealand,New Zealand,10 wickets,Harare
7-Aug-15,Zimbabwe,New Zealand,New Zealand,38 runs,Harare
19-Aug-15,South Africa,New Zealand,South Africa,20 runs,Centurion
23-Aug-15,South Africa,New Zealand,New Zealand,8 wickets,Potchefstroom
26-Aug-15,South Africa,New Zealand,South Africa,62 runs,Durban
27-Aug-15,Ireland,Australia,Australia,23 runs,Belfast
3-Sep-15,England,Australia,Australia,59 runs,Southampton
5-Sep-15,England,Australia,Australia,64 runs,Lord's
8-Sep-15,England,Australia,England,93 runs,Manchester
11-Sep-15,England,Australia,England,3 wickets,Leeds
13-Sep-15,England,Australia,Australia,8 wickets,Manchester
1-Oct-15,Zimbabwe,Pakistan,Pakistan,131 runs,Harare
3-Oct-15,Zimbabwe,Pakistan,Zimbabwe,5 runs,Harare
5-Oct-15,Zimbabwe,Pakistan,Pakistan,7 wickets,Harare
9-Oct-15,Zimbabwe,Ireland,Zimbabwe,2 wickets,Harare
11-Oct-15,India,South Africa,South Africa,5 runs,Kanpur
11-Oct-15,Zimbabwe,Ireland,Zimbabwe,5 wickets,Harare
13-Oct-15,Zimbabwe,Ireland,Ireland,2 wickets,Harare
14-Oct-15,India,South Africa,India,22 runs,Indore
16-Oct-15,Zimbabwe,Afghanistan,Zimbabwe,8 wickets,Bulawayo
18-Oct-15,Zimbabwe,Afghanistan,Afghanistan,58 runs,Bulawayo
18-Oct-15,India,South Africa,South Africa,18 runs,Rajkot
20-Oct-15,Zimbabwe,Afghanistan,Zimbabwe,6 wickets,Bulawayo
22-Oct-15,Zimbabwe,Afghanistan,Afghanistan,3 wickets,Bulawayo
22-Oct-15,India,South Africa,India,35 runs,Chennai
24-Oct-15,Zimbabwe,Afghanistan,Afghanistan,73 runs,Bulawayo
25-Oct-15,India,South Africa,South Africa,214 runs,Mumbai
1-Nov-15,Sri Lanka,West Indies,Sri Lanka,1 wicket,Colombo (RPS)
4-Nov-15,Sri Lanka,West Indies,Sri Lanka,8 wickets,Colombo (RPS)
7-Nov-15,Bangladesh,Zimbabwe,Bangladesh,145 runs,Dhaka
7-Nov-15,Sri Lanka,West Indies,Sri Lanka,19 runs,Pallekele
9-Nov-15,Bangladesh,Zimbabwe,Bangladesh,58 runs,Dhaka
11-Nov-15,Bangladesh,Zimbabwe,Bangladesh,61 runs,Dhaka
11-Nov-15,England,Pakistan,Pakistan,6 wickets,Abu Dhabi
13-Nov-15,England,Pakistan,England,95 runs,Abu Dhabi
16-Nov-15,U.A.E.,Hong Kong,Hong Kong,89 runs,ICCA Dubai
17-Nov-15,England,Pakistan,England,6 wickets,Sharjah
18-Nov-15,U.A.E.,Hong Kong,Hong Kong,136 runs,ICCA Dubai
20-Nov-15,England,Pakistan,England,84 runs,Dubai (DSC)
25-Dec-15,Afghanistan,Zimbabwe,Afghanistan,49 runs,Sharjah
26-Dec-15,New Zealand,Sri Lanka,New Zealand,7 wickets,Christchurch
28-Dec-15,New Zealand,Sri Lanka,New Zealand,10 wickets,Christchurch
29-Dec-15,Afghanistan,Zimbabwe,Afghanistan,4 wickets,Sharjah
31-Dec-15,New Zealand,Sri Lanka,Sri Lanka,8 wickets,Nelson
2-Jan-16,New Zealand,Sri Lanka,no result,,Nelson
2-Jan-16,Afghanistan,Zimbabwe,Zimbabwe,117 runs,Sharjah
4-Jan-16,Afghanistan,Zimbabwe,Zimbabwe,65 runs,Sharjah
5-Jan-16,New Zealand,Sri Lanka,New Zealand,36 runs,Mount Maunganui
6-Jan-16,Afghanistan,Zimbabwe,Afghanistan,2 wickets,Sharjah
12-Jan-16,Australia,India,Australia,5 wickets,Perth
15-Jan-16,Australia,India,Australia,7 wickets,Brisbane
17-Jan-16,Australia,India,Australia,3 wickets,Melbourne
20-Jan-16,Australia,India,Australia,25 runs,Canberra
23-Jan-16,Australia,India,India,6 wickets,Sydney
25-Jan-16,New Zealand,Pakistan,New Zealand,70 runs,Wellington
26-Jan-16,Hong Kong,Scotland,Hong Kong,109 runs,Mong Kok
31-Jan-16,New Zealand,Pakistan,New Zealand,3 wickets,Auckland
3-Feb-16,New Zealand,Australia,New Zealand,159 runs,Auckland
3-Feb-16,South Africa,England,England,39 runs,Bloemfontein
6-Feb-16,New Zealand,Australia,Australia,4 wickets,Wellington
6-Feb-16,South Africa,England,England,5 wickets,Port Elizabeth
